Doctors' Circle,524,2379,12.960026905,77.7117357475,Health/Medical/Pharmaceuticals,Medical & Health,Organization
DoctorKePas,3,865,12.99515,77.69729,Health/Beauty,Family Doctor,Disabled Persons Service
DoctorsBooking,1,2465,12.995740494438,77.60702542588,Local Business,Healthcare Administrator,Health Agency
Doctor Films,0,1734,12.987665,77.622345,Media/News/Publishing,Broadcasting & Media Production
Activ Doctors Online India,4,59946,12.963983758607,77.638996839523,Health/Medical/Pharmaceuticals,Medical & Health
Medical Transcription/Transcription Services - ScribeDoctor.com,0,1160,13.02604,77.721,Consulting/Business Service,Medical & Health
Doctors Visit at Home in Bangalore,0,15,12.9146699,77.51352,Health/Medical/Pharmaceuticals,Health/Medical/Pharmaceuticals
Doctor Fish Pedicure and Body Spa,455,12236,13.0976,77.573955,Spas/Beauty/Personal Care,Health Spa,Skin Care
Doctor Pack India Pvt Ltd,9,23,12.80664,77.66332,Health/Medical/Pharmaceuticals,Medical & Health
Car_Doctors,1,39,13.21909,77.55183,Professional Service,Professional Service
DocsApp - Consult Doctor on Chat,0,11197,12.96461,77.64154,Health/Medical/Pharmaceuticals,Medical Center,Doctor
Doctors Degree,4,2086,12.9745,77.61097,Education,Medical & Health,Education,Education
Doctor Pack India Private Limited,1,141,12.80664,77.66332,Health/Medical/Pharmaceuticals,Medical & Health
Doctor SAP,0,26,12.9131699,77.59369,Education,Education,Education,Medical & Health
Doctor Johnson,4,15,12.94092,77.62062,Doctor,Doctor
Debt Doctor,5,171,12.974,77.61008,Local Business,Medical & Health
Modern Family Doctor Pvt. Ltd.,3,197,12.97381,77.64197,Health/Medical/Pharmaceuticals,Doctor,Dentist
Little Mermaids Doctor Fish Spa & Tattoo Studio,36,658,12.966111693543,77.523076711295,Spas/Beauty/Personal Care,Spa,Tattoo & Piercing
YourYogaDoctor,0,166,12.9519701,77.6523895,Health/Medical/Pharmaceuticals,Alternative & Holistic Health,Medical Research,Yoga & Pilates
HOMOEO DOCTOR,0,1181,13.0557499,77.6323395,Local Business,Doctor,Alternative & Holistic Health
The MOBI Doctor,0,44,13.013,77.63155,Professional Service,Professional Service
Doctor Advice,0,41,12.9442299,77.50433,Professional Service,Counseling & Mental Health
Prasanna Trust,42,65777,12.93857,77.62971,Non-Governmental Organization (NGO),Doctor
Dr. Radhakrishna,43,14958,13.01568,77.5271099,Doctor,Doctor
R. R. Health Clinic,0,223,12.98508,77.55947,Hospital/Clinic,Doctor
Computer Repair Services - Computer Doctor,0,79,12.96643,77.58721,Local Business,Computer Service,Repair Service,Computers & Electronics
Sujay's Dental Care,39,399,12.930524322115,77.547072172165,Hospital/Clinic,Doctor,Dentist
Dr Swapna's Homeo Clinic,1901,938,12.87876,77.60618333,Doctor,Family Doctor,Psychologist
"Hemanth Nagar, Marathahalli, Bangalore",153,22,12.960983682406,77.703134585767,Local Business,Doctor
"Jayanagar , banglore",575,31,12.9100183,77.5428245,Doctor,Doctor,Spas/Beauty/Personal Care
Gowda's ultratech technologies,53,541,13.10728,77.5809,Company,Doctor
Dr Spine Clinic,28,4018,12.92589,77.6373672,Health/Medical/Pharmaceuticals,Doctor,Chiropractor
Chisel Dental Clinic,4,4970,12.92787384,77.63721885,Doctor,Doctor
Sanjeevini Multispeciality Hospital,108,4984,13.01169,77.54939,Health/Medical/Pharmaceuticals,Doctor,Hospital/Clinic
Precise Medical Diagnostics,6,181,12.9721,77.6583,Medical & Health,Doctor
DDC Smiles HSR Layout,0,4792,12.915591600099,77.635477781296,Medical & Health,Doctor,Dentist
Swetha,47,158,12.9356298,77.5133438,Medical & Health,Doctor
Bangalore Spine Clinic - Dr. Thomas Kishen Orthopaedic Spine Surgeon,4,1284,12.95968,77.64921,Doctor,Doctor
CVTS Associates,0,679,13.027505704093,77.542930815659,Doctor,Doctor
Orthoone Bangalore,21,291,12.931350406014,77.584848403931,Hospital/Clinic,Doctor,Clinic
Doctorrama,0,0,12.95598,77.50093,Hospital/Clinic,Hospital/Clinic
"Doctors Transcribe(www.dtsindia.com), Bangalore,India",0,1,13.0329199,77.6352234,Local Business,Local Business
"V. R. Residency, Doctor's Layout, Chikkalasandra in Bangalore",3,1,12.913942,77.5513161,Local Business,Home
