Bangalore Leads - Local Business Listings in Bangalore,1,442,13.007073613102,77.5381507,Internet/Software,Professional Service
Local business,17,128,12.9833,77.5833,Business Service,Business Service
"Silk Board, Bangalore",21782,479,12.916829596189,77.623691873969,Local Business,Community & Government
ITPL,32368,1958,12.985794,77.735833,Local Business,Business Center,Corporate Office,Real Estate
KTPO Trade Centre,20755,920,12.979473184908,77.719822434188,Local Business,Business Center
Banglore City,226483,4960,12.9806378051,77.574927295,Local Business,Local Business
Wipro Technologies,4623,1817,12.914141,77.684172,Local Business,Business Service
"IBM Manyata , Bangalore",40266,6787,13.049014455604,77.620787020488,Local Business,Workplace & Office
Microsoft,6241,3983,12.951071357365,77.644123420136,Local Business,Corporate Office
"Tata Consultancy Services, G R Tech Park, Whitefield, Bangalore",154,32,12.986075010106,77.743566434399,Local Business,Business Center
Part time job online,0,24,13.02447,77.5958799,Local Business,Business Service
Bangalore escort service in kundanahali in & out call,0,116,12.96643,77.58721,Local Business,Business Service
Creative Startup ideas Bangalore,0,38,12.96643,77.58721,Local Business,Business Consultant
Champcash  business,0,228,12.89333,77.6385,Local Business,Business Service
Map a local business,0,1,12.9833,77.5833,Local Business,Local Business
"Ayyappa Nagar, Kr Puram, Near Whitefield",1171,25,13.0051063,77.7094475,Local Business,Business Service
"Electronic City, Bangalore, India",123920,2815,12.832444837486,77.701094826893,Local Business,Business Center
Brainlogic HR Solutions,0,743,12.936390504221,77.691149711609,Local Business,Business Service
Pioneer 3D Creations,0,48,12.9596,77.64583,Local Business,Business Consultant,Workplace & Office
Vestige winners group,0,29,12.9638,77.50183,Local Business,Business Center
Ematic Technologies,0,19,12.96063,77.64173,Local Business,Business Center,Education
Local Business,3,0,12.85523,77.66706,Local Business,Local Business
Local business,0,0,12.9596,77.64583,Local Business,Local Business
Local Business,0,0,12.91947,77.59771,Local Business,Local Business
LOCAL Business MEET,3,5,13.0188999,77.5992279,Local Business,Local Business
Local business,0,6,13.0219,77.50559,Arts/Entertainment/Nightlife,Arts & Entertainment
Local Business,0,0,13.09617,77.59197,Arts/Entertainment/Nightlife,Arts/Entertainment/Nightlife
Local Business,0,0,12.91043,77.58793,Tours/Sightseeing,Tours/Sightseeing
Bangalore Local Business and Services,1,2,12.92816,77.53899,Local Business,Convenience Store
Wavetech Telecom,4,14,12.93983,77.49569,Local Business,Business Center
KVP Business Solutions,14,36,12.98082,77.64612,Local Business,Business Service
Smart&Trendy Local Business,0,0,12.92578,77.62025,Local Business,Women's Clothing Store,Accessories Store
Local Travel/business,0,0,13.10073,77.56779,Local Business,Travel Agency
Testing Local Business,0,1,12.9833,77.5833,Professional Service,Professional Service
It local business,0,2,13.0006304,77.5453033,Professional Service,Professional Service
