Bangalore Scottish School,963,362,52.237316533333,-0.8862105,School,High School,School
Bangalore International School,120,597,13.0474,77.6466,School,High School
Bangalore International Public School,19,1001,12.90964,77.55014,School,School,Education
The Bangalore School,192,23743,12.9702722,77.7412044,Education,Education,Education
Bangalore Adventure School,11,1967,12.84084,77.67175,Travel/Leisure,Outdoor Recreation,Sports Instruction,Tour Company
Bangalore Military School,161,94,12.9624,77.6085,Local Business,School
The International School Bangalore,5115,3132,12.891834153315,77.750649641874,School,High School,School
Bangalore School of Speech and Drama,20,2055,12.9833,77.5833,Education,Education,Education
Amity Global Business School (Bangalore),393,971,12.9404802,77.6202774,Education,School,Education
The Bangalore School of Music,381,2296,13.02661733,77.591627856,Non-Profit Organization,Orchestra,Performance Venue,Music Lessons & Instruction
Bangalore School for Performing Arts,48,1638,12.92724,77.66952,School,School
Delhi Public School Bangalore East,120,764,13.0110798,77.7429123,Education,High School,Education
"Amrita School of Engineering, Bangalore.",7292,4236,12.897696331429,77.67598748,University,Technical Institute
Legacy School Bangalore,59,752,13.05713017,77.65185398,Education,Education,Education
Canadian International School Bangalore,248,291,13.1002197,77.5942993,Organization,Education,Organization
"Cathedral High School, Bangalore",387,984,12.9667,77.6078,Landmark,High School
ABBS-Acharya Bangalore B School,4056,13662,12.991453666667,77.4832849,Education,Education,Education
SSM School Bangalore,63,581,12.93934428,77.60565006,School,School,School
Bangalore School of Civil Services,178,1962,13.037641386029,77.589493989944,Education,Educational Organization,Education
The Music School Bangalore,14,599,12.96227,77.59564,Education,Education,Education
Ebenezer International School Bangalore,881,10560,12.839828682,77.707492084,Education,School,Education
Delhi Public School Bangalore North,1246,1464,13.118663328333,77.64130297,School,High School,School
Bangalore Horse Riding School,79,834,13.05833818,77.58586448,School,School,School
"National School of Journalism, Bangalore",101,455,13.10117,77.59866,Media/News/Publishing,Broadcasting & Media Production,Technical Institute
Iame B School Bangalore,243,2483,12.8199129,77.50611895,Education,School,Education
"LISAA School of Design, Bangalore",1164,58920,12.932318344855,77.612182026672,Education,Educational Organization,Art School,Fashion Designer
"Global Indian International School (GIIS), Whitefield, Bangalore",394,1822,12.924795,77.633825,Education,Education,Education
Ekya Schools,251,8939,12.9593399,77.69242,School,School,School
Bangalore science forum summer school,1,98,12.94824,77.5744,School,School,School
Philharmonic School of Music Bangalore,3,391,12.987571057811,77.591051065941,School,School,Arts & Entertainment,School
Royal School Bangalore.,12,495,12.90667,77.57244,Education,High School,Education
Candor International School (Bangalore),446,25899,12.819833802,77.62086425,Education,Education,High School
"St. Norbert School, Bangalore",3,173,13.07327,77.66732,School,School,High School,Middle School
