"Laboratory Chemicals,Lab Equipments Suppliers",1,108,12.9044104,77.6459427,Health/Medical/Pharmaceuticals,Medical Lab,Chemicals,Laboratory Equipment
Resil Chemicals Pvt. Ltd.,22,1049,12.9742599,77.62406,Company,Professional Service
Anugraha Chemicals,2,78,13.295870558359,77.541297627613,Health/Medical/Pharmaceuticals,Manufacturing
Hitek Fine Chemicals Pvt Ltd - Marble Prevention and Restoration Products,0,188,12.93715,77.60188,Engineering/Construction,Engineering/Construction
Refcoat Chemicals Pvt. Ltd.,1,69,13.06512,77.64039,Chemicals,Metals,Chemicals
Talrak Construction Chemicals Pvt. Ltd.,1,143,12.9196796,77.5108032,Chemicals,Construction Service & Supply,Manufacturing,Engineering Service
M.N.Chemicals Limited,25,108,12.9833,77.5833,Chemicals,Chemicals,Manufacturing
Chemical Products for Sale Online,0,661,12.91755,77.63763,Chemicals,Laboratory Equipment,Gas & Chemical Service,Chemicals
GATE Chemical,0,1503,12.96643,77.58721,Education,Travel & Transportation,Education,Education
Klenza,2,42614,12.997848284407,77.674394716663,Health/Beauty,Health/Beauty
Ge Water and Process Technologies Bangalore,1,0,13.118070532781,77.828806632507,Local Business,Gas & Chemical Service
"Aditya Birla Chemicals, Karwar",7,6,13.081385,77.58236,Local Business,Local Business
Sri Vishnu Indane Gas Agency,1,0,12.9833,77.5833,Local Business,Gas & Chemical Service
"Sindhu Auto Services,seetha Circle,banashankari",3,0,12.937794942907,77.549693025649,Local Business,Gas & Chemical Service
"Agrosynth chemicals ltd., Bangalore",1,0,13.317711830139,77.754168510437,Local Business,Local Business
Skanda Chemical Technologies,1,1,12.88216,77.57399,Local Business,Local Business
Medismith Pharma Lab,1,1,12.9635947,77.5379291,Local Business,Chemicals
"Sri maruthi enterprises. stone hand flaming,stone burning & chemical wash",0,1,13.13338,77.56881,Local Business,Local Business
"Shell station, Bangalore",1,0,12.96698,77.5872879,Local Business,Gas & Chemical Service,Gas Station,Train Station
Mysore Sandal Soap Factory,676,85,13.015102786024,77.551877265868,Local Business,Gas & Chemical Service
Quarry Area,2,0,13.16161839388,77.620083469949,Local Business,Chemicals
Vijaynagar,727,17,12.95873,77.52541,Food/Grocery,Gas & Chemical Service
Maruthi Gas Agency E City Bangalore,6,249,12.8403101,77.6774902,Shopping/Retail,Gas & Chemical Service
Ssd Chemical Solution,0,60,12.96765,77.58987,Business Service,Financial Aid,Loans,Business Service
Prime Gases,1,198,12.9833,77.5833,Organization,Gas & Chemical Service,Organization
"Construction Chemical Dealers in Bangalore,Bengaluru",0,18,12.88904,77.5881,Business Service,Business Service,Home Improvement
Chemical House,17,73,12.98132,77.59437,Medical & Health,Gas & Chemical Service,Medical & Health
Ssd chemical solution,0,5,12.9289799,77.61707,Consulting/Business Service,Consulting/Business Service
Ind Aroma,1,1,12.9556499,77.5630948,Local Business,Chemicals
E Parisaraa Pvt  Ltd,72,329,13.22333,77.25696771,Chemicals,Chemicals
Bhuruka Gases Ltd,37,20,12.985662719258,77.706595783996,Chemicals,Chemicals
"Department of Organic Chemistry, IISc Bangalore",9,1856,13.01744,77.56797,Chemicals,Chemicals,Technical Institute
ColorQ Chemicals Pvt Ltd,0,53,13.00768,77.50106,Chemicals,Chemicals
FMC India,41,515,12.9833,77.5833,Chemicals,Chemicals
Sylus Chemicals,71,6,12.9833,77.5833,Chemicals,Chemicals
Sai Dhurga Enterprises,0,93,12.99657,77.5573,Local Business,Chemicals,Packaging Supplies & Equipment,Manufacturing
Saint-Gobain Crystals and Detectors India,33,117,12.99274,77.70446,Chemicals,Chemicals,Education
HPLC Chromatography Troubleshooting & Techniques,4,375,12.95934,77.69242,Chemicals,Chemicals
TEXEX Think Tank - 3T,18,81,12.9862204,77.5605164,Chemicals,Chemicals
CompuSystems India Pvt Ltd,0,239,12.93033,77.4872,Chemicals,Chemicals
Shree Annai lakshmi exports,0,19,13.01101,77.62931,Chemicals,Chemicals
Superkleen Kleaning Solutions,0,374,12.90136,77.69632,Chemicals,Chemicals
Novosynth,3,3533,13.057217,77.5183507,Health/Medical/Pharmaceuticals,Chemicals
Capsichem,0,99,12.96643,77.58721,Chemicals,Chemicals
Shilpa chemicals,0,241,13.019520116418,77.519056640796,Chemicals,Medical & Health,Chemicals
Ultra Groups,14,187,12.9833,77.5833,Chemicals,Chemicals
Vaishnavi Industries,0,288,12.95555,77.58049,Chemicals,Chemicals
South India Pest Control Private Limited,5,226,12.9833,77.5833,Chemicals,Chemicals,Pest Control
Exigo Enterprises,0,25,12.97837,77.70744,Chemicals,Chemicals
Sm Color and Allied Products,0,62,13.00723,77.59309,Chemicals,Chemicals
"Plastic Online Trade Pte.Ltd.,Singapore",0,86,12.9886503,77.5477066,Chemicals,Chemicals
Brindavan print solutions pvt ltd,0,134,12.98443,77.55575,Chemicals,Chemicals
Vyshnav Trading Co. Bangalore. Karnataka,0,132,13.0108204,77.6253967,Chemicals,Chemicals
Frenchman coatings,0,54,13.03208,77.6345599,Chemicals,Chemicals
Nebula Engineering,0,15,12.96344,77.52198,Chemicals,Chemicals
Satvik Chemsols,0,105,12.95376,77.54321,Chemicals,Chemicals
Ashachemicals,116,429,12.98643,77.4894,Chemicals,Chemicals,Cleaning Service,Automotive
Combiotech,0,55,12.9154797,77.5789032,Chemicals,Chemicals
Kar Enterprises,1,8,13.062992064605,77.634152770042,Chemicals,Chemicals
Manthara Laboratories,0,19,12.85032,77.60908,Chemicals,Chemicals,Medical Lab
Jay Sales,0,3,12.92463,77.58881,Chemicals,Chemicals,Screen Printing & Embroidery,Textiles
Namrata Chemicals,0,28,13.00811,77.48475,Chemicals,Chemicals,Doctor
Dharaniandcompany,0,3,13.00108,77.48845,Chemicals,Chemicals
SLN Safety Solutions,0,8,12.8991699,77.5727463,Chemicals,Chemicals
Ina India Ltd,1,12,12.9833,77.5833,Chemicals,Chemicals
Fivestar Laboratory Company LTD,0,3,31.38697,77.2039999,Business Service,Chemicals
"Vasudha Colours PVT LTD.,",1,10,12.84356,77.68376,Chemicals,Chemicals
Chemical Society SJPUC,1,4,12.966628697593,77.598887903405,Chemicals,Education,Chemicals
Aquamark,0,2,12.9834805,77.6740112,Chemicals,Chemicals
S&V enterprises,0,2,12.97435,77.6237869,Local Business,Chemicals
Hydro Chemtech Pvt Ltd,0,20,12.9833,77.5833,Chemicals,Chemicals
