Energy Fitness,262,1062,12.98935,77.59742,Club,Gym,Physical Fitness
Ather Energy,71,9984,12.9660196,77.6155624,Automobiles and Parts,Automotive
Energy Nests,0,184,12.91504,77.6381989,Organization,Organization
LCG Energy Consultants Pvt Ltd,0,459,12.92463,77.58881,Energy,Professional Service
Orb Energy,5,424,12.987204055335,77.50809431076,Energy,Energy
Brihat Energy,0,627,12.97908,77.63682,Energy,Solar Energy Service
Foundation For Energy Advanced Sustainable Technologies - FEAST,0,60,12.94474,77.55728,Non-Profit Organization,Non-Profit Organization
Dexler Energy Pvt. Ltd.,14,132,12.96106805,77.63729749,Energy,Solar Energy Service
Sunsynthesis Innovative Energy Solutions Pvt. Ltd.,0,70,12.97958,77.51133,Energy,Energy
Greenclouds Renewable Energy.,0,39,12.93101,77.53688,Energy,Energy
Energy Management Engineers,0,13,13.00347,77.61853,Industrials,Industrials
Sidvin energy engineering,47,869,12.977768784333,77.550945281982,Engineering/Construction,Engineering Service
Volt Energy Club,1,1008,12.96643,77.58721,Company,Company
PetroFirst Energy,0,834,13.02838,77.6536,Energy,Petroleum Service
Solar-Apps Energy Private Limited,48,1741,12.9791298,77.5976334,Energy,Solar Energy Service
Greetude Energy,0,228,12.95821181287,77.744069577924,Energy,Energy
Suninfiniti Energy Solutions,1,1393,12.925246437529,77.550073276461,Energy,Solar Energy Service
IRO Energy Solutions,3,38,12.92483,77.58601,Local Business,Solar Energy Service,Lighting Fixtures
Devaki Hi-Energy Batteries Private Limited,0,52,13.02248,77.51784,Energy,Energy
"Elpro Energy Dimensions Pvt. Ltd.,",34,79,12.996645164506,77.554050208685,Energy,Energy
Manav Energy Pvt.Ltd,0,39,12.91628,77.59685,Energy,Solar Energy Service
GreenImpact Energy Solutions,0,104,12.923105129625,77.556347250938,Energy,Solar Energy Service
SRI Subadra Energy Innovations .pvt.ltd,0,145,13.06375,77.5911,Energy,Professional Service
