PMI - Bangalore Chapter - Engineering and Construction,5,534,12.9606,77.59573,Organization,Organization
Rajathadri Engineering & Constructions,0,712,12.91405,77.53806,Engineering/Construction,Technical Institute
Civil Engineering Construction Company - CECC,138,4595,-26.7147678,27.0973197,Engineering/Construction,Contractor,Architect,Technical Institute
Aishwarya Constructions,0,215,13.0114498,77.5445786,Engineering/Construction,Home Improvement
Bhavani constructions,0,403,12.97199,77.5772999,Engineering/Construction,Professional Service
iSteel Frame Construction Bangalore,47,1655,13.0476398,77.5759811,Engineering/Construction,Professional Service,Shopping/Retail
Siddeshwar Constructions,0,787,12.96631,77.53737,Engineering/Construction,Construction Service & Supply,Interior Designer,Engineering Service
Highland constructions,0,423,12.8869,77.58373,Engineering/Construction,Engineering/Construction
H2A Constructions Pvt Ltd,0,373,12.9659,77.60541,Engineering/Construction,Home Improvement
NBK constructions & designing,0,72,12.98214,77.53147,Engineering/Construction,Construction Service & Supply
SGR Constructions,0,1182,12.9133902,77.5575867,Engineering/Construction,Engineering/Construction
Ak Constructions & Interior Designers,0,505,13.0099,77.67587,Engineering/Construction,Interior Designer
Hajee A.P Bava & Company Constructions Private Limited,77,2375,24.6562157,73.875174,Engineering/Construction,Engineering Service
V RAJ Constructions,0,299,12.9480495,77.5017395,Engineering/Construction,Engineering/Construction
Blue Oak Construction and Interior Pvt Ltd,1,430,12.9785799,77.62057,Engineering/Construction,Interior Designer,Commercial & Industrial,Apartment & Condo Building
RAK Construction,0,199,12.91855,77.6425,Engineering/Construction,Home Improvement
Sai Paryavaran Constructions,12,4084,12.96381,77.71769,Engineering/Construction,Real Estate Developer
Skilled Engineers and Constructions,0,229,12.93638,77.5718,Engineering/Construction,Home Improvement
VIVEN Construction & Developers,0,659,13.0582,77.58589,Engineering/Construction,Real Estate Developer,Home Improvement
In OPZ Constructions,0,112,13.01248,77.67652,Engineering/Construction,Engineering/Construction
Alfonso Construction,0,109,12.98396,77.58636,Engineering/Construction,Engineering/Construction
Altitudez-Design & Construction,0,323,12.91271,77.58475,Engineering/Construction,Home Improvement
Perfect constructions,0,552,12.9593399,77.69242,Engineering/Construction,Engineering/Construction
"CREST Engineering/Constructions,  residential and commercial.",0,344,12.9833,77.5833,Company,Technical Institute
Diamond Wall constructions Pvt ltd,7,1771,13.0140104,77.7000427,Engineering/Construction,Construction Service & Supply
L & T Construction equipment limited Fan,165,365,12.9502375,77.5237346,Engineering/Construction,Contractor
L & W Construction Pvt.Ltd.,33,1204,12.9591599,77.6039581,Engineering/Construction,Contractor
Durga Asia - Builders and Constructions,0,1714,12.92604,77.58543,Engineering/Construction,Apartment & Condo Building,Commercial Real Estate
Sai Akshaya Construction,0,1790,12.8990803,77.609581,Engineering/Construction,Contractor,Interior Designer,Construction Service & Supply
Quick Build Construction India,0,2411,12.9833,77.5833,Engineering/Construction,Construction Service & Supply,Contractor,Supply & Distribution Service
Terrafirma/Construction Associates,20,7326,13.004072833489,77.578441149744,Engineering/Construction,Contractor
Aum Construction,0,1860,13.02238,77.59999,Engineering/Construction,Home Improvement
"Volvo Construction Equipment, India",101,3666,13.0164604,77.5056534,Engineering/Construction,Engineering/Construction
Sai Samruddhi Construction,0,2054,12.972023115807,77.641070674355,Engineering/Construction,Construction Service & Supply,Architect,Engineering Service
Power Hills Constructions Pvt Ltd,0,1641,12.92141,77.64504,Engineering/Construction,Construction Service & Supply,Real Estate Developer,Marketing Consultant
De Panache - Interior Designers,3438,194484,12.98886841,77.57736703,Engineering/Construction,Interior Designer,Architect,Landscaping
Sobha Ltd.,465,669387,12.93835707,77.72624113,Engineering/Construction,Real Estate Developer
Puravankara,556,36482,12.97461349338,77.61919565096,Engineering/Construction,Real Estate Developer
Salarpuria Sattva,125,91089,12.975683044512,77.616863250732,Engineering/Construction,Engineering/Construction
Confident Group,862,97157,12.92541,77.61782,Engineering/Construction,Apartment & Condo Building
DeFINER Builders,760,144715,12.9833,77.5833,Engineering/Construction,Property Management,Apartment & Condo Building,Real Estate Developer
SNN Builders,23,42512,12.933499257016,77.583491206169,Engineering/Construction,Real Estate Investment,Real Estate Developer
Design Cafe,322,6869,12.9354,77.57538,Engineering/Construction,Architect,Interior Designer
DS-MAX Properties Pvt. Ltd,446,16845,13.0383099,77.62672,Engineering/Construction,Commercial Real Estate,Real Estate Developer,Construction Service & Supply
The Address Makers,47,14362,12.92544,77.63959,Engineering/Construction,Real Estate Developer
Cadence,327,5914,12.950442,77.5699508,Engineering/Construction,Interior Designer,Architect
DRA HOMES,8,25396,13.0748501,80.1948929,Engineering/Construction,Real Estate Developer
TGS Property -  Source for Bangalore Properties,85,44038,13.0297699,77.5722122,Engineering/Construction,Real Estate
Blue Interiors,9,7427,12.91943,77.65164,Engineering/Construction,Interior Designer
Cambridge Institute of Technology Bangalore,1112,2731,13.01113,77.71002,Engineering/Construction,Technical Institute
Genesis Architecture - Architecture & landscape,18,3868,12.910906640594,77.638396024704,Engineering/Construction,Professional Service
Unishire,20,25488,13.072901,77.619672,Engineering/Construction,Apartment & Condo Building
HouZone,1,57266,13.03799,77.59307,Engineering/Construction,Engineering/Construction
Nemmadi.in,4,2328,12.9206305,77.5970001,Engineering/Construction,Home Inspection,Real Estate
Himagiri Group,135,15344,12.987398153605,77.579094296265,Engineering/Construction,Apartment & Condo Building
SASW Architecture - Sathish Swanlines,19,3024,12.99132,77.55449,Engineering/Construction,Interior Designer,Architect
Studio Segments,19,1664,12.91522,77.59975,Engineering/Construction,Home Decor
Artha Property,32,54450,12.958437122109,77.701395750046,Engineering/Construction,Real Estate
Sterling Developers Pvt Ltd,4,3435,12.9790401,77.6031418,Engineering/Construction,Real Estate Developer
Teknix Elevators Pvt. Ltd.,2,10564,12.9873223,77.5342409,Engineering/Construction,Elevator Service
Devarala Ventures,2,5464,13.0329199,77.6352234,Engineering/Construction,Apartment & Condo Building,Property Management,Real Estate Developer
BuildTraders,0,289,12.93344,77.6378,Engineering/Construction,Construction Service & Supply
MJ Infrastructure,55,2511,12.8775702,77.6478271,Engineering/Construction,Real Estate Developer
Manchuri Interiors,17,3512,13.105548404483,77.575126221568,Engineering/Construction,Interior Designer
Jain Lifespaces,0,294,12.94828,77.5768499,Engineering/Construction,Construction Service & Supply,Apartment & Condo Building,Real Estate Developer
Nagman Instruments & Electronic Pvt. Ltd.,0,4854,13.0314599,80.03536,Engineering/Construction,Engineering/Construction
BHAGWATI INTERIOR,1,2869,18.975,72.8258,Engineering/Construction,Interior Designer
Bluesky Concepts,48,3064,12.95595,77.59662,Engineering/Construction,Engineering/Construction
Studio K Architects,5,3463,12.98915,77.57417,Engineering/Construction,Architect
Genesis Architecture Bangalore,6,2714,12.91092,77.6384,Engineering/Construction,Architect,Interior Designer,Landscaping
HomeInspeKtor.com,0,2115,12.90019,77.55713,Engineering/Construction,Home,Home Inspection
Dharshini Priya,20,1545,12.97091,77.5985199,Engineering/Construction,Engineering/Construction
The tree design studios,4,1266,13.0033102,77.6322174,Engineering/Construction,Professional Service
Studio Grid,2,2713,12.99665172,77.50288631,Engineering/Construction,Interior Designer,Architect
Heritage Homes,49,5107,14.7593178,121.0052463,Engineering/Construction,Real Estate Developer
Keystone Architects,0,2868,12.96784,77.65471,Engineering/Construction,Architect
BetweenSpaces,8,3720,12.9136295,77.6324615,Engineering/Construction,Interior Designer,Architect
AA Architects,13,3945,12.97214,77.61251,Engineering/Construction,Professional Service
Blue Ivy,0,15672,12.935355305637,77.634040117264,Engineering/Construction,Swimming Pool,Water Park,Sports Venue & Stadium
Featherlite Developers,7,6150,12.993110718521,77.595416307449,Engineering/Construction,Commercial Real Estate,Real Estate Developer
Habitat Ventures,33,3688,12.94745,77.57014,Engineering/Construction,Real Estate Developer,Architect
Land Owner Flats,1,4153,12.9206305,77.5970001,Engineering/Construction,Apartment & Condo Building,Real Estate Developer,Property Management
Design Arc Interiors,1,7187,12.90921,77.64943,Engineering/Construction,Architect,Interior Designer
Z AXIS design studio,2,3521,12.913553090844,77.607806002665,Engineering/Construction,Architect,Interior Designer
HCL Technologies Careers,1,4148,12.86134,77.60326,Engineering/Construction,Corporate Office
Ahad Builders Private Limited,6,3354,12.932437904698,77.614980340004,Engineering/Construction,Real Estate Developer
Milestone Builders,12,6703,12.760198798566,77.656774520874,Engineering/Construction,Contractor
Craftsman Interiors,1,2153,12.941159328325,77.697728400993,Engineering/Construction,Interior Designer,Manufacturing
Torfenster Systems  India Pvt. Ltd,4,11234,12.9833,77.5833,Engineering/Construction,Home Decor
NAAMS Architectural Workshope,37,3297,12.9833,77.5833,Engineering/Construction,Engineering/Construction
J.R Housing Developers Pvt Ltd,7,7635,12.9714384,77.7051245,Engineering/Construction,Real Estate Developer
Veracious builders,0,3167,12.9833,77.5833,Engineering/Construction,Residence,Professional Service
PrinceVille,22,3906,12.92459,77.48525,Engineering/Construction,Apartment & Condo Building
Space Optima,0,3733,12.9383199,77.57384,Engineering/Construction,Architect,Interior Designer
ShravanthiGroup,0,4508,12.92163,77.5848199,Engineering/Construction,Engineering/Construction
Ardente,3,10523,13.00525,77.5807899,Engineering/Construction,Real Estate Developer
Gayathri & Namith Architects,161,3587,12.937342326653,77.627055705181,Engineering/Construction,Architect,Workplace & Office
Athithi Builders,0,2357,12.86748,77.60097,Engineering/Construction,Contractor
Ambiencia Architects & Interior Designers.,3,9808,12.96193,77.52857,Engineering/Construction,Architect,Interior Designer
Redifice Developers,1,10323,12.99566,77.61075,Engineering/Construction,Real Estate
Umiya India,0,9456,12.9963503,77.4944611,Engineering/Construction,Engineering/Construction
Gokaldas Lifestyle,0,4929,13.00701,77.57915,Engineering/Construction,Real Estate
Sanctuary Architects & Designers,0,2601,12.99964,77.60189,Engineering/Construction,Architect,Interior Designer
Avant Garde Estates,4,5735,12.93118,77.62343,Engineering/Construction,Real Estate Developer
Bangalore Property News,0,447,12.89333,77.6385,Engineering/Construction,Real Estate,Residence
Praxis,2,1567,12.93857,77.62971,Engineering/Construction,Architect,Interior Designer
The Startup Ecosystem,0,5617,12.94262,77.52563,Engineering/Construction,Engineering/Construction
Indian Institute  of Aeronautical Engineering Bangalore,2,3320,13.04551,77.5325,Engineering/Construction,Technical Institute
Design Factory,2,8689,13.00187,77.57154,Engineering/Construction,Architect
Parimala Skyview,1,3668,12.97891,77.73374,Engineering/Construction,Engineering/Construction
Spaces architects & interior designers,1,623,12.95972,77.57131,Engineering/Construction,Architect,Interior Designer,Contractor
SAI Interiors,0,3082,12.9833,77.5833,Engineering/Construction,Interior Designer
A-Z Architects & Vaastu - Architects in India & Bangalore,1,2578,12.93388,77.56766,Engineering/Construction,Engineering/Construction
Blaze Housing & Estates Pvt Ltd,0,3263,13.01087,77.6717911,Engineering/Construction,Real Estate
Anish Projects Bangalore,2,1791,12.9833,77.5833,Engineering/Construction,Real Estate
