ISRO - Indian Space Research Organisation,14290,1199907,13.03825,77.56492,Government Organization,Government Organization
DNA Life Organisation,0,592,13.116512061369,77.573776245117,Non-Governmental Organization (NGO),Charity Organization,Environmental Conservation,Social Services
Shilpa Foundation - Non-Profit Organisation,0,579,12.9638901,77.6160812,Non-Profit Organization,Organization
Fitness World green organisation,0,61,12.89047,77.52557,Organization,Organization
Sukrut Human and Organisation Consultants Pvt. Ltd.,5,76,12.93412,77.62755,Organization,Organization,Professional Service
Sri Vinayaka Cultural Organisation,0,100,13.0327902,77.682518,Community Organization,Community Organization
Sadhana: Voluntary Rural Development Organisation,0,89,12.98822,77.53213,Community Organization,Community Organization
Fashion Event Organisation,0,471,12.9833,77.5833,Event Planner,Entertainment Service,Event Planner
Sri Sathya Sai Seva Organisation Karnataka,16,717,12.9767303,77.7513428,Organization,Organization
Zodiac Event Organisation and Decorations 8088053234,0,84,12.9948,77.61776,Event Planner,Event Planner
Economic Transport Organisation Ltd.,0,1502,12.9559002,77.6769867,Cargo & Freight Company,Transportation Service,Cargo & Freight Company,Warehouse
Kross-Karnataka Regional Organisation for Social Service,14,2,13.003118296541,77.625291485567,Local Business,Community Organization
India Gadget Expo,21,20209,17.441859818249,78.365285396576,Media/News Company,Media/News/Publishing
Concept Events / Shows organiser,0,59,12.96643,77.58721,Event Planner,Event Planner
"Indian Space Research Organisation, Banglore",5,12,12.97959536,77.57526369,Local Business,Local Business
Defense R&D Organisation,1,0,12.98162132,77.65613138,Local Business,Local Business
"Defence Research and Development Organisation, Bangalore",3,8,12.9827584,77.5946108,Local Business,Government Organization
V3 Event Organisers,0,2,12.96094,77.50933,Event Planner,Event Planner
Birthday Party Organisers,12,78,12.99465,77.53956,Event Planner,Event Planner
Saini Space Research Organisation,0,0,12.96643,77.58721,Local Business,Local Business
Chillar Party Organisers,0,1,12.9448,77.56174,Event Planner,Party Supplies
Defence Research Devolupment Organisation,1,3,12.906157630354,77.633790249448,Local Business,Government Organization
Agarwal Transport Organisation,1,0,13.10212,77.57684,Local Business,Cargo & Freight Company
Japan External Trade Organisation,1,3,12.9819978,77.6242278,Local Business,Government Organization
Organise me,0,21,12.91211,77.6449,Home Improvement,Home Decor,Interior Designer,Organization
Army Welfare Housing Organisation,1,3,13.015933,77.763095,Local Business,Local Business
Divya shree audio visuals and events organise,0,7,12.93388,77.56766,Event Planner,Event Planner,Audiovisual Equipment
UNOrganised,0,19,12.97585,77.641,Local Business,Commercial & Industrial
Karnataka Tamil Family Co Organisation,3,0,12.97114,77.62681,Local Business,Event
Suchitras Event & Party Organisers,0,196,12.96643,77.58721,Event Planner,Event Planner
El Shaddai Embassy,0,13,12.98132,77.59437,Church/Religious Organization,Church of Christ
Wedding & party organisers,0,806,12.96024,77.56726,Event Planner,Event Planner
Michael & Co. Wedding Planning/Event Organisers,1,900,12.95787,77.66331,Event Planner,Event Planner,Event
Fantasy Theme Birthday parties organiser,18,806,12.9833,77.5833,Event Planner,Event Planner
SHALI Party Organiser,0,532,13.0321,77.6123099,Business Service,Business Service,Event Planner
Ventures Event organising,0,167,12.89707,77.57982,Consulting/Business Service,Event Planner
Event Organisers,0,424,12.98028,77.60277,Event Planner,Event Planner
Sri Raja Rajeshwari Event Organisers,40,456,12.8816,77.63956,Local Business,Event Planner
Event organiser banglore,0,212,13.07617,77.60316,Event Planner,Event Planner
Destiny EVENT Organisers,1,496,12.9833,77.5833,Arts/Entertainment/Nightlife,Event Planner,Event
Jovial Events Organisers,6,31,12.88384,77.6180399,Event Planner,Event Planner
Royals event organisers,0,128,12.9289398,77.5945663,Event Planner,Event Planner
Lakshmi event organisers,0,227,12.9833,77.5833,Event Planner,Event Planner,Event
Colourful Event Organisers,0,190,12.94963,77.59676,Event Planner,Event Planner
Theme Birthday parties organiser,0,401,12.8858599,77.7444,Event Planner,Event Planner,Event
Kedar Caterers & Event Organiser,0,13,12.93424,77.56986,Restaurant/Cafe,Restaurant Wholesale
Perfect stage event organisers,1,67,13.0551171,77.6542292,Community Organization,Event Planner,Community Organization
Nature Event Organisers,0,5,13.0497,77.58951,Event Planner,Event Planner,Real Estate Service
Ananya matrimonial and event organisers,3,11,12.97022,77.57025,Professional Service,Event Planner
World Yoga Organisation,33,106959,13.0176802,77.5549698,Non-Profit Organization,Non-Profit Organization
All India Human Rights Organisation,0,194,12.96492,77.5692673,Non-Governmental Organization (NGO),Organization
Superfast Transport Organisation,0,119,12.96091,77.58382,Transportation,Ferry & Boat
Federation of Indian Export Organisations Karnataka Chapter.,0,30,12.9720802,77.5939484,Organization,Organization
3 APEs event Organisation,10,214,12.93444,77.59092,Event Planner,Event Venue,Nightlife
International Kyokushin Kai Kan Organisation,2,212,12.88632,77.5556,Health/Beauty,Education
Agarwal Transport Organisation,0,2,12.97911,77.66543,Company,Organization
Re:Think India Organisation,0,33,12.9833,77.5833,Non-Governmental Organization (NGO),Community Organization
Pradyuhi Event Organisation,0,0,13.09201,77.82863,Event Planner,Event Planner
Canara Bank Officers' Organisation,0,6,12.98644,77.5745,Bank/Financial Institution,Bank/Financial Institution,Organization
